2023/12/11 12:08:03:813991 : ===== startup
2023/12/11 12:08:03:814990 : connect to the camera
2023/12/11 12:08:03:819589 : connect MQTT
2023/12/11 12:08:03:829130 : start the engine
2023/12/11 12:08:03:862870 : camera connected
2023/12/11 12:08:03:868885 : MQTT broker connected
2023/12/11 12:11:41:177700 : profiles received 
2023/12/11 12:11:41:188764 : ==== new cycle 7
2023/12/11 12:11:41:206381 : image coordinates received
2023/12/11 12:11:41:211333 : coordinates received #1
2023/12/11 12:11:41:693513 : image received #1
2023/12/11 12:11:41:786026 : image coordinates received
2023/12/11 12:11:41:796016 : coordinates received #2
2023/12/11 12:11:42:083698 : image received #2
2023/12/11 12:11:42:410785 : image coordinates received
2023/12/11 12:11:42:416781 : coordinates received #3
2023/12/11 12:11:42:691721 : image received #3
2023/12/11 12:11:43:019167 : image coordinates received
2023/12/11 12:11:43:031596 : coordinates received #4
2023/12/11 12:11:43:316626 : image received #4
2023/12/11 12:11:43:645557 : image coordinates received
2023/12/11 12:11:43:658951 : coordinates received #5
2023/12/11 12:11:43:927131 : image received #5
2023/12/11 12:11:44:254971 : image coordinates received
2023/12/11 12:11:44:263721 : coordinates received #6
2023/12/11 12:11:44:549900 : image received #6
2023/12/11 12:11:44:878671 : image coordinates received
2023/12/11 12:11:44:887438 : coordinates received #7
2023/12/11 12:11:45:159750 : image received #7
2023/12/11 12:11:45:487016 : image coordinates received
2023/12/11 12:11:45:498411 : coordinates received #8
2023/12/11 12:11:45:766914 : image received #8
2023/12/11 12:11:46:110664 : image coordinates received
2023/12/11 12:11:46:124094 : coordinates received #9
2023/12/11 12:11:46:392104 : image received #9
2023/12/11 12:11:46:719138 : image coordinates received
2023/12/11 12:11:46:733367 : coordinates received #10
2023/12/11 12:11:46:999972 : image received #10
2023/12/11 12:11:47:341695 : image coordinates received
2023/12/11 12:11:47:347702 : coordinates received #11
2023/12/11 12:11:47:624123 : image received #11
2023/12/11 12:11:47:951961 : image coordinates received
2023/12/11 12:11:47:958740 : coordinates received #12
2023/12/11 12:11:48:231757 : image received #12
2023/12/11 12:11:48:575773 : image coordinates received
2023/12/11 12:11:48:582653 : coordinates received #13
2023/12/11 12:11:48:856557 : image received #13
2023/12/11 12:11:49:182089 : image coordinates received
2023/12/11 12:11:49:190119 : coordinates received #14
2023/12/11 12:11:49:476021 : image received #14
2023/12/11 12:11:49:803663 : image coordinates received
2023/12/11 12:11:49:809485 : coordinates received #15
2023/12/11 12:11:50:082986 : image received #15
2023/12/11 12:11:50:862715 : path request received
2023/12/11 12:11:50:877645 : path response sent
2023/12/11 12:13:54:188677 : profiles received 
2023/12/11 12:13:54:209433 : ==== new cycle 1
2023/12/11 12:13:54:228254 : image coordinates received
2023/12/11 12:13:54:239242 : coordinates received #1
2023/12/11 12:13:54:463050 : image received #1
2023/12/11 12:13:54:791391 : image coordinates received
2023/12/11 12:13:54:802845 : coordinates received #2
2023/12/11 12:13:55:073585 : image received #2
2023/12/11 12:13:55:416963 : image coordinates received
2023/12/11 12:13:55:423894 : coordinates received #3
2023/12/11 12:13:55:699936 : image received #3
2023/12/11 12:13:56:027368 : image coordinates received
2023/12/11 12:13:56:043323 : coordinates received #4
2023/12/11 12:13:56:322370 : image received #4
2023/12/11 12:13:56:651004 : image coordinates received
2023/12/11 12:13:56:662419 : coordinates received #5
2023/12/11 12:13:56:931458 : image received #5
2023/12/11 12:13:57:258245 : image coordinates received
2023/12/11 12:13:57:272301 : coordinates received #6
2023/12/11 12:13:57:555764 : image received #6
2023/12/11 12:13:57:881675 : image coordinates received
2023/12/11 12:13:57:888503 : coordinates received #7
2023/12/11 12:13:58:163308 : image received #7
2023/12/11 12:13:58:489168 : image coordinates received
2023/12/11 12:13:58:502149 : coordinates received #8
2023/12/11 12:13:58:786610 : image received #8
2023/12/11 12:13:59:112865 : image coordinates received
2023/12/11 12:13:59:122771 : coordinates received #9
2023/12/11 12:13:59:392676 : image received #9
2023/12/11 12:13:59:721653 : image coordinates received
2023/12/11 12:13:59:736641 : coordinates received #10
2023/12/11 12:14:00:004071 : image received #10
2023/12/11 12:14:00:334578 : image coordinates received
2023/12/11 12:14:00:341453 : coordinates received #11
2023/12/11 12:14:00:629839 : image received #11
2023/12/11 12:14:00:956596 : image coordinates received
2023/12/11 12:14:00:968522 : coordinates received #12
2023/12/11 12:14:01:239654 : image received #12
2023/12/11 12:14:01:582167 : image coordinates received
2023/12/11 12:14:01:588152 : coordinates received #13
2023/12/11 12:14:01:862771 : image received #13
2023/12/11 12:14:02:185975 : image coordinates received
2023/12/11 12:14:02:196930 : coordinates received #14
2023/12/11 12:14:02:467179 : image received #14
2023/12/11 12:14:02:809968 : image coordinates received
2023/12/11 12:14:02:816997 : coordinates received #15
2023/12/11 12:14:03:092696 : image received #15
2023/12/11 12:14:03:887837 : path request received
2023/12/11 12:14:03:896740 : path response sent
2023/12/11 15:18:22:799473 : profiles received 
2023/12/11 15:18:22:824112 : ==== new cycle 2
2023/12/11 15:18:22:836716 : image coordinates received
2023/12/11 15:18:22:842660 : coordinates received #1
2023/12/11 15:18:23:400267 : image coordinates received
2023/12/11 15:18:23:409109 : coordinates received #2
2023/12/11 15:18:24:023825 : image coordinates received
2023/12/11 15:18:24:036745 : coordinates received #3
2023/12/11 15:18:24:633904 : image coordinates received
2023/12/11 15:18:24:641610 : coordinates received #4
2023/12/11 15:18:25:255952 : image coordinates received
2023/12/11 15:18:25:265905 : coordinates received #5
2023/12/11 15:18:25:877402 : image coordinates received
2023/12/11 15:18:25:887313 : coordinates received #6
2023/12/11 15:18:26:487529 : image coordinates received
2023/12/11 15:18:26:502025 : coordinates received #7
2023/12/11 15:18:27:109172 : image coordinates received
2023/12/11 15:18:27:126123 : coordinates received #8
2023/12/11 15:18:27:718266 : image coordinates received
2023/12/11 15:18:27:730741 : coordinates received #9
2023/12/11 15:18:28:342887 : image coordinates received
2023/12/11 15:18:28:357335 : coordinates received #10
2023/12/11 15:18:28:949773 : image coordinates received
2023/12/11 15:18:28:964205 : coordinates received #11
2023/12/11 15:18:29:574797 : image coordinates received
2023/12/11 15:18:29:589786 : coordinates received #12
2023/12/11 15:18:30:184964 : image coordinates received
2023/12/11 15:18:30:193816 : coordinates received #13
2023/12/11 15:18:30:807062 : image coordinates received
2023/12/11 15:18:30:819588 : coordinates received #14
2023/12/11 15:18:31:416863 : image coordinates received
2023/12/11 15:18:31:429263 : coordinates received #15
2023/12/11 15:18:32:478291 : path request received
2023/12/11 15:18:32:490292 : path error sent [invalid number of images: 0]
2023/12/11 15:19:19:021019 : profiles received 
2023/12/11 15:19:19:043288 : ==== new cycle 3
